Report date,Well ,Project,Mid Night Depth (ft),Comments,Formation,Spud date,Avg. ROP (ft/hr),Flow rate (gpm),Min. RPM (rpm),Max. RPM (rpm),Max. WOB (kip),Min. WOB (kip),TFA (in²)
3/1/2015,BB-1054,BAB,"12,168.00","R-1:- DISCUSSED LPR # 01, FOLLOW ROAD SAFETY RULES. DISCUSSED SP²R1. R-2:- CHECKED & TESTED CROWN 'O' MATIC & ANTI-COLLISION SYSTEM. R-3:- WASHED / REAMED EVERY CONNECTION. R-4:- CONDUCTED FIRE DRILL. HAD GOOD RESPONCE FROM RIG CREWS.  RIG EXPECTED MOVE ON 09/01/2015, NEXT LOCATION BB- 1023, - WORK DONE - 55%, DISTANCE 22 KM. WATER WELL DRILLING IN PROGRESS. - INSTALLED CELLER IN NEW LOCATION. **LPR VIOLATION : DAY = NIL, MONTH = 02, YEAR = 26",THAMAMA SUBZONE B IV U,6/12/2014 10:00,50.2,250.8,110,110,15,10,0.339
3/1/2015,BB-948,BAB,"14,195.00","R-1: WASH UP & REAM DOWN EVERY STD.  ** LPR TODAY / YTD = 00 / 49.  ** 4¾"" JAR ROTATING HRS TODAY / TOTAL = 22.5 / 85 HRS. ** SPPR # 6: MONITOR MUD WEIGHT IN & OUT ALL THE TIME.",HABSHAN 1,6/12/2014 8:00,35.6,250.8,110,130,4,2,0.314
3/1/2015,BB-1031,BAB,"2,445.00","R-1:- 9 5/8"" ERT MOTOR , 5.7 STAGES, 7/8 LOBES, 0.12 REV/GAL         - P/U IN WAY IN 2 X 12 1/4"" R.REAMERS & 1 X 8 1/4"" DC R-2: P/U IN WAY 3 X 5 1/2"" DP R-3: - DRILL FLOAT/SHOE COLLAR IN 60/20 MINUTES         - DRILLED MEDIUM HARD CEMENT R-4:- USED REDUCED DRLG PARAMETERS FIRST 200 FT        - PUMPED 20 BBLS HVP EVERY  CONNECTION        - WASH UP & REAM DOWN PRIOR CONNECTION R-5: PERFORMED KICK DRILL WHILE DRILLING &          DEGASSER DRILL",DAMMAM F'MTN,28/12/2014 3:00:00 PM,85.3,973.2,80,90,30,25,0.994
4/1/2015,BB-1056,BAB,"1,240.00",R-1: DISCUSSED LPR # 1 ROAD SAFETY RULES & SP2R  R-2: WASH UP AND REAM DOWN EVERY CONNECTION         NO DAYNAMIC OR STATIC LOSSES R-3: HAD GOOD RESPONSE FROM DRILLING CREW.,MIOCENE CLASTICS,,57.4,902.9,80,90,40,35,
11/1/2015,BB-1046,BAB,"5,826.00","R-1: DISCUSSED OPERATION, HAZARDS, SP2R #1,3,4 LPR #7 R-2: LOSSES 15 BPH R-3: DYNAMIC LOSSES 40 BPH.  CONDUCTED FIRE & H2S DRILLS GOOD RESPONSE  ",FIQA F'MTN,29/12/2014 9:00:00 AM,10.1,700,80,90,25,20,0.994
14/01/2015,BB-1052,BAB,"1,680.00","[R-1] DRILLING  PARAMETERS ROP: 30 FT/HR, RPM:60-70,          GPM: 700, WOB:20-30 KLBS. [R-2] DRILLING W/ CONTROLLED PARAMETERS ROP: 20-30 FT/HR,          RPM:60-70, GPM: 600, WOB:10-20 KLBS. [R-3] WELL FLOWING. [R-4] INCRESE MW FROM 72 TO 73 PCF DUE WELL FLOW.  [R-5] INCRESE MW FROM 73 PCF TO /74 PCF TO AVOID FLOW           FROM TO SECTION WHILE POOH. ",DAMMAM,,24.3,652.1,60,70,20,10,0.785
19/01/2015,BB-1046,BAB,"8,555.00","SCR @ 8111'  W/ MW 81PCF. MP #1: 30/40 SPM, 270/340 PSI MP #2: 30/40 SPM, 260/330 PSI",BAB MEMBER,29/12/2014 9:00:00 AM,45.2,601.9,110,120,35,30,0.907
20/01/2015,BB-296,BAB,"9,490.00","R-1: DISCUSSES LPR #08 & SPR #05 NOTES:- ** SCR@ 9490' WITH 82 PCF OBM MUD:-     MP-1:  30 SPM - 610 PSI, 40 SPM - 740 PSI     MP-2:  30 SPM - 610 PSI, 40 SPM - 740 PSI ** LPR'S: WEEKLY = 03 ; MONTHLY = 11 ** CUTTING BOXES:  FULL = 18 ; EMPTY = 20",THAMAMA SUBZONE B IV,17/02/1992,20,496.6,120,130,10,8,0.907
20/01/2015,BB-1017,BAB,"1,459.00","R-1: DISCUSSED LPR # 4 & SP2R # 4. ** LPRs: DAILY / MONTHLY / YEARLY                    0    /          4        /      4 R-2:  *OBSD NO STATIC LOSS. * NO DYNAMIC LOSS AT CONTROLLED PARAMETER. * ROTATE & RECIPROCATED WHILE CIRC. NOTE:- * SWEEP HOLE W/ 50 BBL HI-VIS EVERY CONNECTION. * WASHED UP & REAMED DN EACH  CONNECTION. * DRILLING CREW SHORTAGE ( ONE IN EACH SHIFT AS PER NORM/CONTRACT)   IN BOTH SHIFT :- F/M-3, DM-1,AD-1, DRILLER-1 AS ON TODAY",DAMMAM F'MTN,17/01/2015 6:00:00 PM,41.6,852.8,50,50,35,30,0.942
22/01/2015,BB-1031,BAB,"8,717.00",R-1 : FILLED UP STING EA 20 STAND. R-2 : DRILLED DOWN LANDING COLLAR IN 75 MINUTES.        : PUMPED 30 BBLS HI-VIS PILL TWICE PER STAND.        : KICK DRILL WHILE DRILLING. R-3 : LAY DOWN 5.1/2'' DP'S 20 JTS.,THAMAMA ZONE B LOWER,28/12/2014 3:00:00 PM,0,301,70,80,15,10,0.451
20/01/2015,BB-282,BAB,"8,970.00","[R-1] : - TESTED CMT LINE TO 2000 PSI, OK.            - PUMPED 30 BBLS 80 PCF WEIGHTED SPACER THEN              20 BBLS 118 PCF CMT SLURRY FOLLOWED BY 6.5 BBLS 80 PCF              BEHIND SPACER & 133 BBLS 68 PCF BRINE.            - TOTAL LOSSES 5 BBLS DURING CMT JOB. [R-2] :   DUMPED 50 BBLS SPACER CONTAMINATED MUD. [R-3] :   L/D 15 x 5"" DP ",,14/08/1991,0,288.8,,,,,
21/01/2015,BB-282,BAB,"8,970.00","[R-1] :   L/D 9 x 5"" HWDP + 6½"" DRLG JAR.  NOTES : -  AL-MANSOORI AIRLOOP SYSTEM + ENGRS ON LOC. SINCE 04.01.2015 -  2 GREEN HATS ON LOCATION.  -  TOTAL PRE-MOVE LOADS MOVED TO NEW LOC. BB-215 = 8 ",,14/08/1991,0,399.1,,,,,
22/01/2015,BB-282,BAB,"8,970.00","[R-1] :  L/D 6 x 3½"" HWDP + 6 x 4¾"" DC + JUNK SUB [R-2] :  SCRAPED 7"" LINER SEVERAL TIMES. [R-3] :  L/D 100 x 5"" DP NOTES : -  AL-MANSOORI AIRLOOP SYSTEM + ENGRS ON LOC. SINCE 04.01.2015 -  2 GREEN HATS ON LOCATION.  -  TOTAL PRE-MOVE LOADS MOVED TO NEW LOC. BB-215 = 9",,14/08/1991,0,393.9,,,,,
22/01/2015,BB-282,BAB,"8,970.00","[R-1] :  L/D 6 x 3½"" HWDP + 6 x 4¾"" DC + JUNK SUB [R-2] :  SCRAPED 7"" LINER SEVERAL TIMES. [R-3] :  L/D 100 x 5"" DP NOTES : -  AL-MANSOORI AIRLOOP SYSTEM + ENGRS ON LOC. SINCE 04.01.2015 -  2 GREEN HATS ON LOCATION.  -  TOTAL PRE-MOVE LOADS MOVED TO NEW LOC. BB-215 = 9",,14/08/1991,0,393.9,,,,,
